253 Commonwealth Avenue,2018-09-01 12:22,2018-09-01 14:22,(Co-ed) Dumplings,Best dumplings EVER (vegan-friendly option provided).
253 Commonwealth Avenue,2018-09-01 19:22,2018-09-01 20:22,(Co-ed) Diz,"Come sample delicacies from the five major food groups: cupcakes, regular cakes, eclairs, bon-bons, and souffles."
253 Commonwealth Avenue,2018-09-01 20:22,2018-09-01 23:22,(Co-ed) Oobleck!,Experience over 1000 pounds of non-newtonian fun. What could go wrong? 
253 Commonwealth Avenue,2018-09-02 11:22,2018-09-02 12:22,(Co-ed) Brunch,tEp has brunch every Sunday morning. Come join us for what is objectively the best meal.
253 Commonwealth Avenue,2018-09-02 12:22,2018-09-02 15:22,(Co-ed) Derpy Robot Building ,"Have you wanted to build a robot, but worried that you wouldn't know how? Have you wanted to make a robot out of Barbie limbs and HotWheels? Come try it out in our annual robot competition!"
253 Commonwealth Avenue,2018-09-02 15:22,2018-09-02 16:22,(Co-ed) Derpy Robot Fighting,Watch said derpy robots battle to the death. Some of them might even move.
Campus,2018-09-02 15:22,2018-09-02 17:22,(Coed) Bleached T-Shirts ,"Like tie-dye, but with more oxidation! Materials provided, designers wanted."
253 Commonwealth Avenue,2018-09-02 19:22,2018-09-02 21:22,(Co-ed) Food Orgy,We have more food than we know what to do with and have to eat it all. One rule: you're not allowed to feed yourself. There are few better ways to meet people than this special networking event.
253 Commonwealth Avenue,2018-09-02 21:22,2018-09-02 22:22,(Co-ed) Lost in Boston,Boston has famously confusing intersections and pockets of weird organization within the entropy. Come explore the topology of this strange city and maybe grab dessert.
253 Commonwealth Avenue,2018-09-03 11:22,2018-09-03 12:22,(Co-ed) Waffle Architecture,"Once upon a time, someone told you not to play with your food. Come build your masterpiece out of waffles, fresh fruit, and marshmallow fluff (and eat it too)."
253 Commonwealth Avenue,2018-09-03 12:22,2018-09-03 13:22,(Co-ed) Milk Crate Construction,How many milk crates can we stack in the center stairwell before they fall over? Hard hats provided.
253 Commonwealth Avenue,2018-09-03 20:22,2018-09-03 22:22,(Co-ed) Cannoli Hunting,Join us on a trip to the North end to hunt one of Boston's most elusive dessert species: the cannolo. Don't forget to leave one at Paul Revere's grave.
253 Commonwealth Avenue,2018-09-03 22:22,2018-09-03 23:22,(Co-ed) Cracks and Crevices,Our house is full of surprises! Join us in the ultimate game of hide and seek!
MIT Sailing Pavilion,2018-09-04 18:22,2018-09-04 20:22,(Co-ed) Picnic in the Sailing Pavillion,Join us for a picnic in the Pavilion!
253 Commonwealth Avenue,2018-09-04 20:22,2018-09-04 22:22,(Co-ed) Spice Cream,Have you ever had rosemary flavored ice cream? How about lemongrass? Garlic? Siracha? Join our flavor extracting experts in a quest to invent Ben and Jerry's next famous flavor.
253 Commonwealth Avenue,2018-09-05 16:22,2018-09-05 18:22,(Co-ed) Flashmob on the T,"
Phase 1: Pick a thing to do in public. Phase 2: Do that thing in public, pray for attention."
253 Commonwealth Avenue,2018-09-05 21:22,2018-09-05 22:22,(Co-ed) Dr. Seuss Cocoa,"One cocoa, two cocoa, red cocoa, blue cocoa! On the first day of classes of every week, tEp has a hot cocoa study break with lots of cheese and other snacks. While a cocoa's a cocoa no matter how small, this one is particularly special. Ft. Dr. Seuss read far too dramatically"
253 Commonwealth Avenue,2018-09-06 17:22,2018-09-06 18:22,(Co-ed) Break our Doorbell,"The tEp doorbell can play sounds between 10 and 60 Hz. Come program it for yourself, or just find tEp’s resonant frequency."
253 Commonwealth Avenue,2018-09-06 18:22,2018-09-06 19:22,(Co-ed) Duct Tape Bondage,"If it moves and it shouldn't, add more duct tape. Come duct tape us to the wall."
253 Commonwealth Avenue,2018-09-07 18:22,2018-09-06 20:22,(Co-ed) Italian Feast,(INVITE ONLY) The finest Italian dinner and desserts tEp has to offer at this specific time.
